iter	Logloss
0	0.6852607129
1	0.6769530941
2	0.6691087215
3	0.6612320405
4	0.6529283258
5	0.6454212629
6	0.6377756009
7	0.6301039199
8	0.6235623915
9	0.6173574733
10	0.6100328902
11	0.6024741681
12	0.5951209986
13	0.5879110364
14	0.5812509039
15	0.5757310238
16	0.5685382021
17	0.5619104797
18	0.555181049
19	0.5495699073
20	0.5431351149
21	0.5369571175
22	0.5306721477
23	0.5252313157
24	0.5193173876
25	0.513946153
26	0.5086139945
27	0.5028643975
28	0.497210486
29	0.4923630436
30	0.4866150377
31	0.4807822927
32	0.4753771799
33	0.4698673838
34	0.4656012077
35	0.4604916405
36	0.4556156987
37	0.4515581503
38	0.4466360923
39	0.4422763267
40	0.4387543017
41	0.4345420544
42	0.4297642986
43	0.4255383448
44	0.4214922489
45	0.4169985532
46	0.4136518126
47	0.410051422
48	0.4057342839
49	0.4014753546
50	0.3979321681
51	0.3947264795
52	0.3904021696
53	0.386921693
54	0.382650187
55	0.3793828824
56	0.3758364128
57	0.372566686
58	0.3688386681
59	0.3645350321
60	0.3608955542
61	0.3572883328
62	0.353768594
63	0.350976208
64	0.3478163128
65	0.3447133594
66	0.3410631886
67	0.3378121937
68	0.3343943998
69	0.3311598236
70	0.3277885886
71	0.3246858729
72	0.3218874076
73	0.3192515499
74	0.3164624391
75	0.3134101399
76	0.3103880989
77	0.3081424565
78	0.3055943389
79	0.3028266613
80	0.300114879
81	0.2974672336
82	0.2950304764
83	0.2926260656
84	0.289748842
85	0.2873578966
86	0.2852109453
87	0.2825807581
88	0.2798646236
89	0.2776611856
90	0.2758584671
91	0.2739447617
92	0.2715310836
93	0.268888405
94	0.2664240846
95	0.2643192602
96	0.2624994389
97	0.26019116
98	0.25788675
99	0.2557670477
100	0.2536881713
101	0.252217585
102	0.250275172
103	0.2484517776
104	0.2465651072
105	0.2451638641
106	0.2431204457
107	0.2412343012
108	0.2395668501
109	0.2379235951
110	0.2360046282
111	0.2342811511
112	0.2326323764
113	0.2310446253
114	0.2293366115
115	0.2278137581
116	0.2264457311
117	0.2248059867
118	0.22351775
119	0.2219477528
120	0.2205492776
121	0.2195743238
122	0.2183439446
123	0.2170175446
124	0.2155697833
125	0.2144312621
126	0.2132918447
127	0.2120464693
128	0.2108809233
129	0.2093280232
130	0.207886566
131	0.20649385
132	0.2053960569
133	0.2039248672
134	0.2028170467
135	0.2016836587
136	0.200492679
137	0.1992089332
138	0.1979822744
139	0.1969730889
140	0.196022532
141	0.1947186842
142	0.1935922407
143	0.1922609707
144	0.1910223733
145	0.1901103128
146	0.1889564311
147	0.18779908
148	0.1868271893
149	0.1860691088
150	0.1850168528
151	0.1841505345
152	0.1829696702
153	0.182011575
154	0.1808266073
155	0.1799955956
156	0.1786896167
157	0.1776727015
158	0.1766550749
159	0.1755360906
160	0.1747362116
161	0.1739267547
162	0.172800258
163	0.1718119709
164	0.171189132
165	0.1701265159
166	0.1689930651
167	0.1681575645
168	0.1672224318
169	0.1661420538
170	0.1653232901
171	0.1643850095
172	0.1634152965
173	0.1625015814
174	0.1615787957
175	0.1607567973
176	0.1597915297
177	0.158947637
178	0.1582397135
179	0.1574114431
180	0.1566596239
181	0.1558240205
182	0.1552891196
183	0.1547425022
184	0.1540635144
185	0.1532587345
186	0.1525375918
187	0.1519278334
188	0.1512805938
189	0.1505148584
190	0.149941716
191	0.1494075974
192	0.1488311245
193	0.147959636
194	0.1472313545
195	0.1467642891
196	0.1460948563
197	0.1453978234
198	0.1446941457
199	0.1440577889
200	0.1434579725
201	0.1426625702
202	0.1421203288
203	0.1414527648
204	0.1407436239
205	0.1401149633
206	0.1396269551
207	0.1389688082
208	0.1382517939
209	0.1376746814
210	0.1370514307
211	0.136482149
212	0.1358271641
213	0.135228672
214	0.1345870648
215	0.1341021496
