iter	Passed	Remaining
0	203	244517
1	388	232546
2	597	238533
3	816	244101
4	1007	240782
5	1214	241645
6	1384	235929
7	1593	237472
8	1759	232852
9	1946	231587
10	2138	231099
11	2348	232537
12	2539	231878
13	2743	232380
14	2922	230897
15	3131	231725
16	3353	233345
17	3540	232470
18	3760	233757
19	3943	232685
20	4156	233330
21	4353	233102
22	4546	232666
23	4777	234118
24	4961	233211
25	5146	232402
26	5319	231105
27	5505	230434
28	5706	230413
29	5920	230911
30	6095	229850
31	6292	229667
32	6469	228778
33	6644	227876
34	6825	227208
35	7002	226416
36	7176	225585
37	7369	225338
38	7547	224697
39	7718	223830
40	7874	222592
41	8083	222868
42	8283	222891
43	8458	222237
44	8663	222351
45	8836	221677
46	9032	221592
47	9199	220784
48	9420	221282
49	9765	224617
50	10224	230353
51	10410	229824
52	10591	229219
53	10816	229544
54	11017	229354
55	11248	229795
56	11446	229531
57	11645	229297
58	11830	228789
59	12045	228869
60	12224	228257
61	12432	228205
62	12661	228501
63	12850	228099
64	13029	227506
65	13212	227021
66	13395	226524
67	13598	226371
68	13789	226034
69	13984	225748
70	14170	225326
71	14371	225149
72	14541	224491
73	14729	224124
74	14929	223937
75	15101	223348
76	15262	222598
77	15452	222282
78	15656	222165
79	15873	222229
80	16057	221834
81	16232	221318
82	16419	220973
83	16593	220458
84	16771	219998
85	16940	219438
86	17141	219297
87	17320	218869
88	17493	218375
89	17683	218095
90	17852	217562
91	18048	217368
92	18246	217194
93	18438	216943
94	18611	216484
95	18815	216374
96	18992	215971
97	19168	215542
98	19347	215165
99	19547	215021
100	19762	215041
101	19937	214618
102	20113	214223
103	20301	213947
104	20505	213847
105	20687	213514
106	20873	213219
107	21066	213002
108	21262	212821
109	21461	212668
110	21656	212470
111	21848	212239
112	22038	212000
113	22273	212184
114	22444	211755
115	22633	211507
116	22840	211418
117	23037	211239
118	23254	211245
119	23485	211365
120	23689	211247
121	23875	210962
122	24088	210922
123	24278	210675
124	24509	210781
125	24708	210612
126	24933	210661
127	25143	210578
128	25317	210193
129	25508	209957
130	25690	209639
131	25888	209459
132	26053	209017
133	26228	208655
134	26445	208628
135	26628	208326
136	26786	207838
137	26974	207589
138	27165	207358
139	27334	206959
140	27533	206797
141	27710	206462
142	27896	206196
143	28078	205909
144	28270	205690
145	28465	205497
146	28646	205199
147	28806	204762
148	28989	204483
149	29147	204035
150	29331	203767
151	29493	203351
152	29653	202923
153	29840	202679
154	30025	202430
155	30213	202196
156	30425	202128
157	30614	201899
158	30784	201552
159	30983	201389
160	31185	201250
161	31337	200791
162	31513	200486
163	31730	200441
164	31912	200181
165	32106	199989
166	32282	199689
167	32454	199363
168	32662	199261
169	32884	199244
170	33065	198971
171	33254	198756
172	33469	198688
173	33683	198617
174	33876	198422
175	34048	198097
176	34216	197758
177	34417	197613
178	34577	197227
179	34757	196959
180	34958	196807
181	35157	196651
182	35354	196476
183	35541	196253
184	35711	195928
185	35905	195744
186	36067	195379
187	36252	195146
188	36465	195059
189	36670	194935
190	36849	194663
191	37019	194349
192	37204	194120
193	37411	193998
194	37622	193899
195	37792	193590
